"Instance_number numeric","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
4822,422,219,764,11082,0.064494,0.658346,0.355818,0.658346,0.644182,0.461959,0.094979,6.93151,0.822288
4823,422,219,763,11083,0.06441,0.658346,0.356118,0.658346,0.643882,0.462212,0.094899,6.937359,0.824339
4824,422,219,762,11084,0.064326,0.658346,0.356419,0.658346,0.643581,0.462466,0.094819,6.943218,0.825789
4825,422,219,761,11085,0.064241,0.658346,0.35672,0.658346,0.64328,0.462719,0.094739,6.949088,0.826982
4826,421,220,753,11093,0.063566,0.656786,0.358603,0.656786,0.641397,0.463912,0.094018,6.985767,0.827432
4827,421,220,752,11094,0.063481,0.656786,0.358909,0.656786,0.641091,0.464168,0.093938,6.991722,0.829119
4828,420,221,752,11094,0.063481,0.655226,0.358362,0.655226,0.641638,0.46332,0.093858,6.981066,0.831969
4829,420,221,751,11095,0.063397,0.655226,0.358668,0.655226,0.641332,0.463576,0.093778,6.987028,0.83654
4830,419,222,751,11095,0.063397,0.653666,0.35812,0.653666,0.64188,0.462728,0.093697,6.97635,0.8369
4831,419,222,750,11096,0.063313,0.653666,0.358426,0.653666,0.641574,0.462983,0.093617,6.982318,0.837418
4832,419,222,748,11098,0.063144,0.653666,0.35904,0.653666,0.64096,0.463496,0.093457,6.994284,0.838403
4833,419,222,747,11099,0.063059,0.653666,0.359348,0.653666,0.640652,0.463752,0.093377,7.000282,0.838488
4834,419,222,746,11100,0.062975,0.653666,0.359657,0.653666,0.640343,0.464009,0.093297,7.006291,0.839077
4835,419,222,745,11101,0.06289,0.653666,0.359966,0.653666,0.640034,0.464266,0.093217,7.01231,0.839876
4836,419,222,744,11102,0.062806,0.653666,0.360275,0.653666,0.639725,0.464523,0.093137,7.01834,0.839963
4837,419,222,743,11103,0.062722,0.653666,0.360585,0.653666,0.639415,0.464781,0.093057,7.02438,0.840674
4838,419,222,742,11104,0.062637,0.653666,0.360896,0.653666,0.639104,0.465039,0.092977,7.03043,0.841058
4839,418,223,742,11104,0.062637,0.652106,0.360345,0.652106,0.639655,0.464187,0.092897,7.019697,0.841706
4840,418,223,740,11106,0.062468,0.652106,0.360967,0.652106,0.639033,0.464703,0.092736,7.031821,0.841827
4841,418,223,738,11108,0.0623,0.652106,0.361592,0.652106,0.638408,0.46522,0.092576,7.043987,0.842143
4842,417,224,738,11108,0.0623,0.650546,0.361039,0.650546,0.638961,0.464365,0.092496,7.033219,0.842785
4843,417,224,737,11109,0.062215,0.650546,0.361352,0.650546,0.638648,0.464624,0.092416,7.039314,0.843629
4844,417,224,735,11111,0.062046,0.650546,0.361979,0.650546,0.638021,0.465142,0.092256,7.051535,0.846445
4845,416,225,734,11112,0.061962,0.648986,0.361739,0.648986,0.638261,0.464545,0.092096,7.046859,0.847317
4846,416,225,733,11113,0.061877,0.648986,0.362054,0.648986,0.637946,0.464804,0.092016,7.052992,0.847572
4847,416,225,732,11114,0.061793,0.648986,0.362369,0.648986,0.637631,0.465064,0.091936,7.059136,0.852082
4848,416,225,731,11115,0.061709,0.648986,0.362685,0.648986,0.637315,0.465324,0.091856,7.06529,0.852534
4849,416,225,730,11116,0.061624,0.648986,0.363002,0.648986,0.636998,0.465585,0.091775,7.071455,0.853401
4850,416,225,729,11117,0.06154,0.648986,0.363319,0.648986,0.636681,0.465845,0.091695,7.077631,0.854687
4851,416,225,727,11119,0.061371,0.648986,0.363955,0.648986,0.636045,0.466368,0.091535,7.090015,0.854936
4852,415,226,727,11119,0.061371,0.647426,0.363398,0.647426,0.636602,0.465508,0.091455,7.079166,0.85499
4853,414,227,727,11119,0.061371,0.645866,0.36284,0.645866,0.63716,0.464646,0.091375,7.068297,0.859977
4854,414,227,726,11120,0.061287,0.645866,0.363158,0.645866,0.636842,0.464907,0.091295,7.074497,0.861051
4855,414,227,725,11121,0.061202,0.645866,0.363477,0.645866,0.636523,0.465169,0.091215,7.080708,0.861121
4856,414,227,722,11124,0.060949,0.645866,0.364437,0.645866,0.635563,0.465954,0.090975,7.099407,0.861393
4857,413,228,722,11124,0.060949,0.644306,0.363877,0.644306,0.636123,0.46509,0.090895,7.088499,0.861585
4858,412,229,722,11124,0.060949,0.642746,0.363316,0.642746,0.636684,0.464225,0.090814,7.077571,0.862452
4859,412,229,721,11125,0.060864,0.642746,0.363636,0.642746,0.636364,0.464487,0.090734,7.083818,0.86266
4860,412,229,719,11127,0.060696,0.642746,0.364279,0.642746,0.635721,0.465011,0.090574,7.096345,0.862811
4861,412,229,718,11128,0.060611,0.642746,0.364602,0.642746,0.635398,0.465274,0.090494,7.102624,0.865061
4862,411,230,718,11128,0.060611,0.641186,0.364039,0.641186,0.635961,0.464407,0.090414,7.091661,0.865973
4863,411,230,716,11130,0.060442,0.641186,0.364685,0.641186,0.635315,0.464932,0.090254,7.104246,0.867509
4864,411,230,713,11133,0.060189,0.641186,0.365658,0.641186,0.634342,0.465722,0.090014,7.123207,0.870112
4865,411,230,710,11136,0.059936,0.641186,0.366637,0.641186,0.633363,0.466515,0.089773,7.14227,0.871108
4866,411,230,705,11141,0.059514,0.641186,0.36828,0.641186,0.63172,0.467843,0.089373,7.17427,0.871878
4867,411,230,704,11142,0.059429,0.641186,0.36861,0.641186,0.63139,0.468109,0.089293,7.180704,0.873187
4868,411,230,703,11143,0.059345,0.641186,0.368941,0.641186,0.631059,0.468376,0.089213,7.18715,0.874254
4869,411,230,702,11144,0.059261,0.641186,0.369272,0.641186,0.630728,0.468643,0.089133,7.193608,0.874796
4870,411,230,701,11145,0.059176,0.641186,0.369604,0.641186,0.630396,0.46891,0.089053,7.200077,0.874919
4871,411,230,700,11146,0.059092,0.641186,0.369937,0.641186,0.630063,0.469178,0.088973,7.206557,0.875191
4872,411,230,695,11151,0.05867,0.641186,0.371609,0.641186,0.628391,0.470521,0.088572,7.239137,0.875367
4873,411,230,693,11153,0.058501,0.641186,0.372283,0.641186,0.627717,0.47106,0.088412,7.252251,0.876422
4874,410,231,693,11153,0.058501,0.639626,0.371714,0.639626,0.628286,0.470183,0.088332,7.241165,0.876452
4875,410,231,692,11154,0.058416,0.639626,0.372051,0.639626,0.627949,0.470453,0.088252,7.247736,0.876832
4876,410,231,691,11155,0.058332,0.639626,0.372389,0.639626,0.627611,0.470723,0.088172,7.254319,0.877635
4877,409,232,691,11155,0.058332,0.638066,0.371818,0.638066,0.628182,0.469845,0.088092,7.243204,0.87833
4878,409,232,690,11156,0.058248,0.638066,0.372157,0.638066,0.627843,0.470115,0.088012,7.249795,0.879313
4879,409,232,689,11157,0.058163,0.638066,0.372495,0.638066,0.627505,0.470385,0.087931,7.256397,0.881472
4880,409,232,688,11158,0.058079,0.638066,0.372835,0.638066,0.627165,0.470656,0.087851,7.263012,0.881805
4881,409,232,686,11160,0.05791,0.638066,0.373516,0.638066,0.626484,0.471198,0.087691,7.276278,0.882788
4882,409,232,682,11164,0.057572,0.638066,0.374885,0.638066,0.625115,0.472286,0.087371,7.302955,0.883303
4883,409,232,681,11165,0.057488,0.638066,0.375229,0.638066,0.624771,0.472559,0.087291,7.309655,0.883578
4884,409,232,680,11166,0.057403,0.638066,0.375574,0.638066,0.624426,0.472832,0.087211,7.316367,0.883606
4885,409,232,679,11167,0.057319,0.638066,0.375919,0.638066,0.624081,0.473106,0.087131,7.323092,0.884467
4886,408,233,679,11167,0.057319,0.636505,0.375345,0.636505,0.624655,0.472222,0.087051,7.311908,0.884617
4887,408,233,678,11168,0.057235,0.636505,0.375691,0.636505,0.624309,0.472496,0.08697,7.318641,0.884905
4888,408,233,677,11169,0.05715,0.636505,0.376037,0.636505,0.623963,0.472769,0.08689,7.325386,0.885812
4889,408,233,676,11170,0.057066,0.636505,0.376384,0.636505,0.623616,0.473043,0.08681,7.332144,0.885989
4890,408,233,675,11171,0.056981,0.636505,0.376731,0.636505,0.623269,0.473318,0.08673,7.338914,0.886241
4891,407,234,675,11171,0.056981,0.634945,0.376155,0.634945,0.623845,0.472432,0.08665,7.327692,0.886548
4892,407,234,674,11172,0.056897,0.634945,0.376503,0.634945,0.623497,0.472706,0.08657,7.334471,0.887389
4893,407,234,673,11173,0.056812,0.634945,0.376852,0.634945,0.623148,0.472981,0.08649,7.341262,0.88895
4894,407,234,669,11177,0.056475,0.634945,0.378253,0.634945,0.621747,0.474083,0.08617,7.368553,0.889702
4895,407,234,668,11178,0.05639,0.634945,0.378605,0.634945,0.621395,0.474359,0.08609,7.375408,0.88977
4896,406,235,667,11179,0.056306,0.633385,0.378378,0.633385,0.621622,0.473746,0.085929,7.371,0.892455
4897,406,235,666,11180,0.056222,0.633385,0.378731,0.633385,0.621269,0.474022,0.085849,7.377876,0.894175
4898,404,237,664,11182,0.056053,0.630265,0.378277,0.630265,0.621723,0.472791,0.085529,7.369028,0.89574
4899,402,239,662,11184,0.055884,0.627145,0.37782,0.627145,0.62218,0.471554,0.085209,7.360113,0.896379
4900,402,239,658,11188,0.055546,0.627145,0.379245,0.627145,0.620755,0.472663,0.084888,7.387887,0.896517
4901,402,239,657,11189,0.055462,0.627145,0.379603,0.627145,0.620397,0.472941,0.084808,7.394864,0.897766
4902,402,239,656,11190,0.055377,0.627145,0.379962,0.627145,0.620038,0.47322,0.084728,7.401853,0.898436
4903,402,239,655,11191,0.055293,0.627145,0.380322,0.627145,0.619678,0.473498,0.084648,7.408856,0.898595
4904,402,239,652,11194,0.05504,0.627145,0.381404,0.627145,0.618596,0.474336,0.084408,7.429944,0.900341
4905,402,239,647,11199,0.054618,0.627145,0.383222,0.627145,0.616778,0.47574,0.084007,7.465358,0.901468
4906,402,239,645,11201,0.054449,0.627145,0.383954,0.627145,0.616046,0.476303,0.083847,7.479619,0.90238
4907,402,239,644,11202,0.054364,0.627145,0.384321,0.627145,0.615679,0.476586,0.083767,7.486769,0.903263
4908,402,239,643,11203,0.05428,0.627145,0.384689,0.627145,0.615311,0.476868,0.083687,7.493934,0.904007
4909,399,242,638,11208,0.053858,0.622465,0.384764,0.622465,0.615236,0.475566,0.083046,7.49539,0.904275
4910,398,243,638,11208,0.053858,0.620905,0.38417,0.620905,0.61583,0.474657,0.082966,7.483821,0.904491
4911,397,244,636,11210,0.053689,0.619345,0.384318,0.619345,0.615682,0.474313,0.082726,7.486697,0.905615
4912,397,244,631,11215,0.053267,0.619345,0.386187,0.619345,0.613813,0.475734,0.082326,7.523111,0.906174
