"Instance_number","'True Positives'","'False Negatives'","'False Positives'","'True Negatives'","'False Positive Rate'","'True Positive Rate'","Precision","Recall","Fallout","FMeasure","'Sample Size'","Lift","Threshold"
47,931,202,2395,17162,0.122463,0.821712,0.279916,0.821712,0.720084,0.417582,0.160754,5.111614,0.012423
48,931,202,2393,17164,0.12236,0.821712,0.280084,0.821712,0.719916,0.41777,0.160657,5.114689,0.012428
49,931,202,2391,17166,0.122258,0.821712,0.280253,0.821712,0.719747,0.417957,0.160561,5.117768,0.01243
50,931,202,2389,17168,0.122156,0.821712,0.280422,0.821712,0.719578,0.418145,0.160464,5.120851,0.012448
51,931,202,2387,17170,0.122053,0.821712,0.280591,0.821712,0.719409,0.418333,0.160367,5.123938,0.012481
52,931,202,2386,17171,0.122002,0.821712,0.280675,0.821712,0.719325,0.418427,0.160319,5.125483,0.012488
53,931,202,2384,17173,0.1219,0.821712,0.280845,0.821712,0.719155,0.418615,0.160222,5.128575,0.012512
54,931,202,2382,17175,0.121798,0.821712,0.281014,0.821712,0.718986,0.418803,0.160126,5.131671,0.012522
55,931,202,2380,17177,0.121696,0.821712,0.281184,0.821712,0.718816,0.418992,0.160029,5.134771,0.012528
56,931,202,2379,17178,0.121644,0.821712,0.281269,0.821712,0.718731,0.419086,0.159981,5.136322,0.012549
57,930,203,2379,17178,0.121644,0.82083,0.281052,0.82083,0.718948,0.41873,0.159932,5.132356,0.012553
58,930,203,2378,17179,0.121593,0.82083,0.281137,0.82083,0.718863,0.418825,0.159884,5.133907,0.012581
59,930,203,2373,17184,0.121338,0.82083,0.281562,0.82083,0.718438,0.419297,0.159642,5.141679,0.01259
60,930,203,2372,17185,0.121286,0.82083,0.281647,0.82083,0.718353,0.419391,0.159594,5.143236,0.012598
61,930,203,2370,17187,0.121184,0.82083,0.281818,0.82083,0.718182,0.41958,0.159497,5.146353,0.012605
62,929,204,2370,17187,0.121184,0.819947,0.2816,0.819947,0.7184,0.419224,0.159449,5.142378,0.012618
63,929,204,2368,17189,0.121082,0.819947,0.281771,0.819947,0.718229,0.419413,0.159352,5.145497,0.012629
64,929,204,2367,17190,0.121031,0.819947,0.281857,0.819947,0.718143,0.419508,0.159304,5.147058,0.012637
65,929,204,2364,17193,0.120877,0.819947,0.282114,0.819947,0.717886,0.419792,0.159159,5.151747,0.012651
66,929,204,2362,17195,0.120775,0.819947,0.282285,0.819947,0.717715,0.419982,0.159062,5.154878,0.012654
67,928,205,2359,17198,0.120622,0.819064,0.282324,0.819064,0.717676,0.41991,0.158869,5.155596,0.012683
68,928,205,2354,17203,0.120366,0.819064,0.282754,0.819064,0.717246,0.420385,0.158627,5.16345,0.012694
69,928,205,2352,17205,0.120264,0.819064,0.282927,0.819064,0.717073,0.420576,0.158531,5.166598,0.0127
70,928,205,2350,17207,0.120162,0.819064,0.283099,0.819064,0.716901,0.420766,0.158434,5.169751,0.012701
71,928,205,2345,17212,0.119906,0.819064,0.283532,0.819064,0.716468,0.421244,0.158192,5.177648,0.012718
72,928,205,2344,17213,0.119855,0.819064,0.283619,0.819064,0.716381,0.421339,0.158144,5.179231,0.012748
73,928,205,2343,17214,0.119804,0.819064,0.283705,0.819064,0.716295,0.421435,0.158096,5.180814,0.012752
74,928,205,2340,17217,0.11965,0.819064,0.283966,0.819064,0.716034,0.421722,0.157951,5.18557,0.012761
75,928,205,2338,17219,0.119548,0.819064,0.28414,0.819064,0.71586,0.421914,0.157854,5.188746,0.012787
