"Instance_number","'True Positives'","'False Negatives'","'False Positives'","'True Negatives'","'False Positive Rate'","'True Positive Rate'","Precision","Recall","Fallout","FMeasure","'Sample Size'","Lift","Threshold"
0,1153,0,18739,0,1,1,0.057963,1,0.942037,0.109575,1,1,0.017768
1,1113,40,17162,1577,0.915844,0.965308,0.060903,0.965308,0.939097,0.114577,0.918711,1.05072,0.01793
2,1071,82,15581,3158,0.831474,0.928881,0.064317,0.928881,0.935683,0.120303,0.83712,1.109615,0.018002
3,1071,82,15580,3159,0.831421,0.928881,0.06432,0.928881,0.93568,0.12031,0.83707,1.109681,0.018007
4,1071,82,15579,3160,0.831368,0.928881,0.064324,0.928881,0.935676,0.120317,0.83702,1.109748,0.018064
5,1033,120,13995,4744,0.746838,0.895924,0.068738,0.895924,0.931262,0.127681,0.75548,1.185901,0.018086
6,1033,120,13994,4745,0.746785,0.895924,0.068743,0.895924,0.931257,0.127689,0.755429,1.185979,0.018129
7,994,159,12409,6330,0.662202,0.862099,0.074163,0.862099,0.925837,0.136576,0.673788,1.27948,0.018218
8,960,193,10850,7889,0.579006,0.832611,0.081287,0.832611,0.918713,0.148114,0.593706,1.402395,0.01825
9,959,194,10849,7890,0.578953,0.831743,0.081216,0.831743,0.918784,0.147982,0.593605,1.401172,0.018333
10,959,194,10848,7891,0.5789,0.831743,0.081223,0.831743,0.918777,0.147994,0.593555,1.401291,0.018336
11,959,194,10845,7894,0.57874,0.831743,0.081244,0.831743,0.918756,0.148028,0.593404,1.401647,0.018351
12,924,229,9258,9481,0.49405,0.801388,0.090748,0.801388,0.909252,0.163035,0.511864,1.565626,0.018362
13,893,260,7688,11051,0.410267,0.774501,0.104067,0.774501,0.895933,0.183481,0.431379,1.795406,0.018377
14,893,260,7687,11052,0.410214,0.774501,0.104079,0.774501,0.895921,0.183499,0.431329,1.795615,0.018416
15,860,293,6126,12613,0.326912,0.74588,0.123103,0.74588,0.876897,0.211328,0.351196,2.123826,0.018439
16,860,293,6125,12614,0.326858,0.74588,0.123121,0.74588,0.876879,0.211354,0.351146,2.12413,0.01845
17,860,293,6124,12615,0.326805,0.74588,0.123139,0.74588,0.876861,0.21138,0.351096,2.124435,0.018459
18,860,293,6123,12616,0.326752,0.74588,0.123156,0.74588,0.876844,0.211406,0.351046,2.124739,0.018495
19,860,293,6122,12617,0.326698,0.74588,0.123174,0.74588,0.876826,0.211432,0.350995,2.125043,0.018506
20,860,293,6121,12618,0.326645,0.74588,0.123192,0.74588,0.876808,0.211458,0.350945,2.125348,0.018512
21,828,325,4535,14204,0.242009,0.718127,0.154391,0.718127,0.845609,0.254144,0.269606,2.663616,0.018514
22,828,325,4534,14205,0.241955,0.718127,0.15442,0.718127,0.84558,0.254183,0.269556,2.664113,0.01853
