"Instance_number numeric","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
498,422,219,865,10981,0.07302,0.658346,0.327894,0.658346,0.672106,0.437759,0.103067,6.387545,0.050072
499,420,221,854,10992,0.072092,0.655226,0.32967,0.655226,0.67033,0.438642,0.102026,6.422143,0.050457
500,420,221,842,11004,0.071079,0.655226,0.332805,0.655226,0.667195,0.441408,0.101065,6.483209,0.050462
501,417,224,832,11014,0.070235,0.650546,0.333867,0.650546,0.666133,0.44127,0.100024,6.503898,0.050522
502,411,230,823,11023,0.069475,0.641186,0.333063,0.641186,0.666937,0.4384,0.098823,6.488238,0.05054
503,408,233,816,11030,0.068884,0.636505,0.333333,0.636505,0.666667,0.437534,0.098022,6.4935,0.053322
504,408,233,815,11031,0.0688,0.636505,0.333606,0.636505,0.666394,0.437768,0.097942,6.498809,0.057238
505,408,233,814,11032,0.068715,0.636505,0.333879,0.636505,0.666121,0.438003,0.097862,6.504127,0.05804
506,408,233,813,11033,0.068631,0.636505,0.334152,0.636505,0.665848,0.438238,0.097782,6.509454,0.065838
507,407,234,813,11033,0.068631,0.634945,0.333607,0.634945,0.666393,0.437399,0.097702,6.498822,0.066265
508,407,234,812,11034,0.068546,0.634945,0.33388,0.634945,0.66612,0.437634,0.097622,6.504154,0.079366
509,407,234,811,11035,0.068462,0.634945,0.334154,0.634945,0.665846,0.43787,0.097541,6.509494,0.083434
510,407,234,810,11036,0.068378,0.634945,0.334429,0.634945,0.665571,0.438105,0.097461,6.514842,0.083502
511,406,235,810,11036,0.068378,0.633385,0.333882,0.633385,0.666118,0.437264,0.097381,6.50418,0.090276
512,406,235,809,11037,0.068293,0.633385,0.334156,0.633385,0.665844,0.4375,0.097301,6.509533,0.091994
513,406,235,808,11038,0.068209,0.633385,0.334432,0.633385,0.665568,0.437736,0.097221,6.514895,0.096594
514,406,235,807,11039,0.068124,0.633385,0.334707,0.633385,0.665293,0.437972,0.097141,6.520266,0.112729
515,405,236,807,11039,0.068124,0.631825,0.334158,0.631825,0.665842,0.437129,0.097061,6.509573,0.119481
516,405,236,806,11040,0.06804,0.631825,0.334434,0.631825,0.665566,0.437365,0.096981,6.514948,0.130997
517,405,236,805,11041,0.067955,0.631825,0.334711,0.631825,0.665289,0.437601,0.096901,6.520332,0.175
518,391,250,765,11081,0.064579,0.609984,0.338235,0.609984,0.661765,0.43517,0.092576,6.588992,0.176765
519,380,261,738,11108,0.0623,0.592824,0.339893,0.592824,0.660107,0.432064,0.089533,6.621279,0.177321
520,365,276,712,11134,0.060105,0.569423,0.338904,0.569423,0.661096,0.424913,0.08625,6.602026,0.18012
521,355,286,688,11158,0.058079,0.553822,0.340364,0.553822,0.659636,0.421615,0.083527,6.630467,0.181135
522,344,297,663,11183,0.055968,0.536661,0.341609,0.536661,0.658391,0.417476,0.080644,6.654709,0.184179
523,333,308,634,11212,0.05352,0.519501,0.344364,0.519501,0.655636,0.414179,0.077441,6.708383,0.187688
524,325,316,607,11239,0.051241,0.50702,0.348712,0.50702,0.651288,0.413223,0.074638,6.793093,0.188432
525,312,329,559,11287,0.047189,0.486739,0.358209,0.486739,0.641791,0.412698,0.069753,6.978089,0.191514
526,303,338,531,11315,0.044825,0.472699,0.363309,0.472699,0.636691,0.410847,0.066789,7.077448,0.193249
527,290,351,495,11351,0.041786,0.452418,0.369427,0.452418,0.630573,0.406732,0.062865,7.196618,0.34958
