"threshold","TP","TN","FP","FN"
0.0,1014,0,17278,0
0.01,1014,5,17273,0
0.02,1014,71,17207,0
0.03,1014,159,17119,0
0.04,1014,256,17022,0
0.05,1014,362,16916,0
0.060000000000000005,1014,503,16775,0
0.07,1014,780,16498,0
0.08,1014,821,16457,0
0.09,1014,1961,15317,0
0.09999999999999999,1014,2022,15256,0
0.10999999999999999,1014,2063,15215,0
0.11999999999999998,1014,2111,15167,0
0.12999999999999998,976,6808,10470,38
0.13999999999999999,974,6910,10368,40
0.15,974,6958,10320,40
0.16,974,6987,10291,40
0.17,974,7064,10214,40
0.18000000000000002,974,7086,10192,40
0.19000000000000003,896,7901,9377,118
0.20000000000000004,896,7935,9343,118
0.21000000000000005,896,8000,9278,118
0.22000000000000006,872,8058,9220,142
0.23000000000000007,872,8155,9123,142
0.24000000000000007,872,8206,9072,142
0.25000000000000006,848,12660,4618,166
0.26000000000000006,848,12701,4577,166
0.2700000000000001,848,12761,4517,166
0.2800000000000001,848,12799,4479,166
0.2900000000000001,835,12977,4301,179
0.3000000000000001,835,13020,4258,179
0.3100000000000001,835,13075,4203,179
0.3200000000000001,835,13149,4129,179
0.3300000000000001,835,13183,4095,179
0.34000000000000014,835,13210,4068,179
0.35000000000000014,833,13340,3938,181
0.36000000000000015,833,13366,3912,181
0.37000000000000016,833,13396,3882,181
0.38000000000000017,816,13848,3430,198
0.3900000000000002,816,13881,3397,198
0.4000000000000002,816,13898,3380,198
0.4100000000000002,816,13912,3366,198
0.4200000000000002,784,14076,3202,230
0.4300000000000002,784,14093,3185,230
0.4400000000000002,784,14184,3094,230
0.45000000000000023,784,14247,3031,230
0.46000000000000024,780,14277,3001,234
0.47000000000000025,780,14291,2987,234
0.48000000000000026,780,14296,2982,234
0.49000000000000027,780,14296,2982,234
0.5000000000000002,780,14296,2982,234
0.5100000000000002,780,14340,2938,234
0.5200000000000002,780,14367,2911,234
0.5300000000000002,780,14482,2796,234
0.5400000000000003,780,14499,2779,234
0.5500000000000003,779,14533,2745,235
0.5600000000000003,779,14551,2727,235
0.5700000000000003,106,16789,489,908
0.5800000000000003,106,16821,457,908
0.5900000000000003,106,16831,447,908
0.6000000000000003,106,16833,445,908
0.6100000000000003,106,16868,410,908
0.6200000000000003,106,16902,376,908
0.6300000000000003,106,16904,374,908
0.6400000000000003,106,16921,357,908
0.6500000000000004,106,16922,356,908
0.6600000000000004,106,16925,353,908
0.6700000000000004,106,16928,350,908
0.6800000000000004,106,16943,335,908
0.6900000000000004,104,16949,329,910
0.7000000000000004,5,17147,131,1009
0.7100000000000004,5,17148,130,1009
0.7200000000000004,5,17148,130,1009
0.7300000000000004,5,17161,117,1009
0.7400000000000004,5,17162,116,1009
0.7500000000000004,5,17162,116,1009
0.7600000000000005,5,17166,112,1009
0.7700000000000005,1,17215,63,1013
0.7800000000000005,1,17215,63,1013
0.7900000000000005,1,17220,58,1013
0.8000000000000005,1,17220,58,1013
0.8100000000000005,1,17248,30,1013
0.8200000000000005,1,17248,30,1013
0.8300000000000005,1,17257,21,1013
0.8400000000000005,1,17257,21,1013
0.8500000000000005,1,17262,16,1013
0.8600000000000005,1,17262,16,1013
0.8700000000000006,0,17275,3,1014
0.8800000000000006,0,17277,1,1014
0.8900000000000006,0,17277,1,1014
0.9000000000000006,0,17278,0,1014
0.9100000000000006,0,17278,0,1014
0.9200000000000006,0,17278,0,1014
0.9300000000000006,0,17278,0,1014
0.9400000000000006,0,17278,0,1014
0.9500000000000006,0,17278,0,1014
0.9600000000000006,0,17278,0,1014
0.9700000000000006,0,17278,0,1014
0.9800000000000006,0,17278,0,1014
0.9900000000000007,0,17278,0,1014
