"Instance_number","'True Positives'","'False Negatives'","'False Positives'","'True Negatives'","'False Positive Rate'","'True Positive Rate'","Precision","Recall","Fallout","FMeasure","'Sample Size'","Lift","Threshold"
0,1133,0,19557,0,1,1,0.054761,1,0.945239,0.103835,1,1,0
1,1133,0,19554,3,0.999847,1,0.054769,1,0.945231,0.10385,0.999855,1.000145,0
2,1133,0,19552,5,0.999744,1,0.054774,1,0.945226,0.103859,0.999758,1.000242,0
3,1133,0,19550,7,0.999642,1,0.054779,1,0.945221,0.103869,0.999662,1.000338,0
4,1133,0,19549,8,0.999591,1,0.054782,1,0.945218,0.103873,0.999613,1.000387,0
5,1133,0,19548,9,0.99954,1,0.054785,1,0.945215,0.103878,0.999565,1.000435,0
6,1133,0,19547,10,0.999489,1,0.054787,1,0.945213,0.103883,0.999517,1.000484,0
7,1133,0,19546,11,0.999438,1,0.05479,1,0.94521,0.103888,0.999468,1.000532,0
8,1133,0,19545,12,0.999386,1,0.054793,1,0.945207,0.103893,0.99942,1.00058,0
9,1133,0,19541,16,0.999182,1,0.054803,1,0.945197,0.103912,0.999227,1.000774,0
10,1133,0,19513,44,0.99775,1,0.054877,1,0.945123,0.104045,0.997873,1.002131,0
11,1133,0,19512,45,0.997699,1,0.05488,1,0.94512,0.10405,0.997825,1.00218,0
12,1133,0,19511,46,0.997648,1,0.054883,1,0.945117,0.104055,0.997777,1.002228,0
13,1133,0,19510,47,0.997597,1,0.054885,1,0.945115,0.10406,0.997728,1.002277,0
14,1133,0,19487,70,0.996421,1,0.054947,1,0.945053,0.10417,0.996617,1.003395,0
15,1133,0,19453,104,0.994682,1,0.055037,1,0.944963,0.104333,0.994973,1.005052,0
16,1133,0,19426,131,0.993302,1,0.05511,1,0.94489,0.104462,0.993668,1.006372,0
17,1133,0,19396,161,0.991768,1,0.05519,1,0.94481,0.104607,0.992218,1.007843,0
18,1133,0,19382,175,0.991052,1,0.055228,1,0.944772,0.104675,0.991542,1.00853,0
19,1133,0,19352,205,0.989518,1,0.055309,1,0.944691,0.10482,0.990092,1.010007,0
20,1133,0,19351,206,0.989467,1,0.055311,1,0.944689,0.104825,0.990043,1.010057,0
21,1133,0,19348,209,0.989313,1,0.05532,1,0.94468,0.104839,0.989899,1.010205,0
22,1133,0,19312,245,0.987473,1,0.055417,1,0.944583,0.105014,0.988159,1.011983,0
23,1133,0,19311,246,0.987421,1,0.05542,1,0.94458,0.105019,0.98811,1.012033,0
24,1133,0,19310,247,0.98737,1,0.055422,1,0.944578,0.105024,0.988062,1.012082,0
25,1133,0,19284,273,0.986041,1,0.055493,1,0.944507,0.105151,0.986805,1.013371,0
26,1133,0,19283,274,0.98599,1,0.055496,1,0.944504,0.105156,0.986757,1.013421,0
27,1133,0,19279,278,0.985785,1,0.055507,1,0.944493,0.105175,0.986564,1.013619,0
28,1133,0,19276,281,0.985632,1,0.055515,1,0.944485,0.10519,0.986419,1.013768,0
29,1133,0,19275,282,0.985581,1,0.055517,1,0.944483,0.105195,0.98637,1.013818,0
30,1133,0,19269,288,0.985274,1,0.055534,1,0.944466,0.105224,0.98608,1.014116,0
31,1133,0,19264,293,0.985018,1,0.055547,1,0.944453,0.105248,0.985839,1.014365,0
32,1133,0,19237,320,0.983638,1,0.055621,1,0.944379,0.105381,0.984534,1.015709,0
33,1133,0,19210,347,0.982257,1,0.055695,1,0.944305,0.105513,0.983229,1.017057,0
34,1133,0,19209,348,0.982206,1,0.055698,1,0.944302,0.105518,0.98318,1.017107,0
35,1133,0,19197,360,0.981592,1,0.05573,1,0.94427,0.105577,0.9826,1.017708,0
36,1133,0,19196,361,0.981541,1,0.055733,1,0.944267,0.105582,0.982552,1.017758,0
37,1133,0,19177,380,0.98057,1,0.055785,1,0.944215,0.105676,0.981634,1.01871,0
38,1133,0,19176,381,0.980518,1,0.055788,1,0.944212,0.10568,0.981585,1.01876,0
39,1133,0,19175,382,0.980467,1,0.055791,1,0.944209,0.105685,0.981537,1.01881,0
40,1133,0,19160,397,0.9797,1,0.055832,1,0.944168,0.105759,0.980812,1.019563,0
41,1133,0,19140,417,0.978678,1,0.055887,1,0.944113,0.105858,0.979845,1.020569,0
42,1133,0,19114,443,0.977348,1,0.055959,1,0.944041,0.105987,0.978589,1.02188,0
43,1133,0,19112,445,0.977246,1,0.055964,1,0.944036,0.105997,0.978492,1.021981,0
44,1133,0,19095,462,0.976377,1,0.056011,1,0.943989,0.106081,0.97767,1.02284,0
45,1133,0,19079,478,0.975559,1,0.056056,1,0.943944,0.106161,0.976897,1.023649,0
46,1133,0,19078,479,0.975507,1,0.056059,1,0.943941,0.106166,0.976849,1.0237,0
47,1133,0,19077,480,0.975456,1,0.056061,1,0.943939,0.106171,0.9768,1.023751,0
48,1133,0,19068,489,0.974996,1,0.056086,1,0.943914,0.106215,0.976365,1.024207,0
49,1133,0,19067,490,0.974945,1,0.056089,1,0.943911,0.10622,0.976317,1.024257,0
50,1133,0,19063,494,0.974741,1,0.0561,1,0.9439,0.10624,0.976124,1.02446,0
51,1133,0,19061,496,0.974638,1,0.056106,1,0.943894,0.10625,0.976027,1.024562,0
52,1133,0,19060,497,0.974587,1,0.056109,1,0.943891,0.106255,0.975979,1.024612,0
53,1133,0,19040,517,0.973564,1,0.056164,1,0.943836,0.106355,0.975012,1.025628,0
54,1133,0,19039,518,0.973513,1,0.056167,1,0.943833,0.10636,0.974964,1.025679,0
55,1133,0,19020,537,0.972542,1,0.05622,1,0.94378,0.106455,0.974045,1.026646,0
56,1133,0,19019,538,0.972491,1,0.056223,1,0.943777,0.10646,0.973997,1.026697,0
57,1133,0,19018,539,0.97244,1,0.056225,1,0.943775,0.106465,0.973949,1.026748,0
58,1133,0,19013,544,0.972184,1,0.056239,1,0.943761,0.10649,0.973707,1.027003,0
59,1133,0,19004,553,0.971724,1,0.056265,1,0.943735,0.106535,0.973272,1.027462,0
60,1133,0,18999,558,0.971468,1,0.056279,1,0.943721,0.10656,0.97303,1.027717,0
61,1133,0,18998,559,0.971417,1,0.056281,1,0.943719,0.106565,0.972982,1.027768,0
62,1133,0,18995,562,0.971263,1,0.05629,1,0.94371,0.10658,0.972837,1.027921,0
63,1133,0,18992,565,0.97111,1,0.056298,1,0.943702,0.106595,0.972692,1.028075,0
64,1133,0,18989,568,0.970957,1,0.056307,1,0.943693,0.10661,0.972547,1.028228,0
65,1133,0,18987,570,0.970854,1,0.056312,1,0.943688,0.10662,0.97245,1.02833,0
